neighbourhood,room_type,price
Kensington,Entire home/apt,89
Harlem,Private room,110
Bushwick,Entire home/apt,120
Williamsburg,Private room,59
Bay Ridge,Private room,49
Greenpoint,Private room,79
Harlem,Entire home/apt,135
South Slope,Entire home/apt,185
Williamsburg,Entire home/apt,225
Gramercy,Entire home/apt,245
Washington Heights,Entire home/apt,115
Williamsburg,Entire home/apt,325
Williamsburg,Private room,95
West Village,Private room,120
Upper West Side,Entire home/apt,499
Williamsburg,Private room,75
Upper East Side,Private room,109
Williamsburg,Entire home/apt,160
Upper East Side,Entire home/apt,219
Upper East Side,Entire home/apt,159
Clinton Hill,Private room,180
East Village,Entire home/apt,150
Kips Bay,Entire home/apt,106
Midtown,Entire home/apt,299
Upper West Side,Entire home/apt,179
Crown Heights,Entire home/apt,165
Flatbush,Entire home/apt,500
Chinatown,Entire home/apt,250
Inwood,Private room,87
Williamsburg,Private room,79
