,name,latitude,longitude,price,minimum_nights
24632,The North House:Large NYC home 15 Min to Manhattan,40.68085,-73.94224,789,2
24907,Modern large 2 bedroom steps from Central Park!,40.77285,-73.95566,795,2
24993,"ART LOFT/HOME:  DINNERS, GATHERINGS, PHOTO",40.7256,-73.99486999999999,1795,1
25064,"Stunning Brooklyn Heights House, Manhattan 5 mins",40.70136,-73.99372,1095,2
25258,Bright 3 bedroom loft in the heart of soho.,40.72553,-74.00001999999999,899,3
25318,Modern Mid-Century Townhouse in Williamsburg!,40.71352,-73.96148000000001,800,30
25386,Beach House Retreat. 15 minutes from Manhattan.,40.595459999999996,-74.06092,800,7
25402,"Luxe, Central Loft in Downtown Manhattan",40.72015,-74.00435,1500,3
25422,New York's Hidden Secret for luxury living,40.88515,-73.91411,800,2
25516,Beautiful Big Brownstone Bedroom w/ Natural Light,40.6801,-73.94072,1000,2
25744,Empire St View Luxury 3BR 2BA Penthouse BalconyGym,40.746990000000004,-73.9777,799,5
25825,Fulton 2,40.68185,-73.88128,5000,2
25901,Greenwich Village Townhome with Private Garden!,40.733000000000004,-73.99413,3900,30
25947,CHIC EVENT SPACE,40.62724,-73.93043,1700,1
26443,Murray Hill House,40.74685,-73.97892,1177,3
26451,Lavish 3 bedroom near Penn Station / MSG,40.74881,-73.99375,790,2
26617,"Manhattan, double size sofa bed no deposit",40.80323,-73.94253,1500,5
26691,420 FRIENDLY BACKYARD PARTY EXPERIENCE ONLY,40.681999999999995,-73.91572,750,1
26739,Broadway 1,40.68742,-73.91957,5000,2
26781,"3 Beds, 2 Baths serviced apartment Tesoro-Gramercy",40.73765,-73.98454,1100,30
26786,4 Beds 4 Baths serviced apartment Palazzo Gramercy,40.7368,-73.98307,766,30
26810,Upper East Side 3 bed/3 bath Skyline view!,40.76709,-73.96422,840,4
26994,Spectacular Brooklyn brownstone!,40.68486,-73.98487,800,7
27186,Rod,40.76719,-73.96973,750,4
27258,Midtown Manhattan Oasis (2-Bedroom Vacation Suite),40.76163,-73.98023,949,2
27512,SOHO LOFT: 2000sq ft renovated & centrally located,40.72208,-74.00216999999999,1000,5
27590,Luxury 8 Bedroom Townhouse in Midtown-Sleeps 16,40.76481,-73.98845,2200,2
27600,DESIGNER TOWNHOUSE IN HARLEM,40.81023,-73.94142,850,3
27774,Artful loft ★ NYC ★ Chelsea,40.74245,-73.99348,750,12
27785,Exclusive  & Luxurious 4BR/4Bath Townhouse,40.74866,-73.97846,1000,3
27922,Lincoln Center Studio,40.77562,-73.98756,1066,1
28141,Brand New 2 Bedroom 2 Bath Downtown Gem,40.70758,-74.00409,850,1
28150,Luxury Skyline Views! Best Panaromic Views Of NYC.,40.71735,-74.00605,850,2
28199,Luxury Chelsea Condo on the High Line park,40.749179999999996,-74.00369,800,1
28727,The room boom,40.58363,-73.96405,3000,1
28812,Huge 2 Bedroom on Mercer St (Soho),40.72224,-73.99991,720,3
28858,SPECTACULAR SOHO GREAT ROOM LOFT 6000sq feet,40.72605,-74.00572,3000,7
28945,Chelsea Gallery Space for events and exhibitions,40.750809999999994,-74.00395999999999,2010,1
28946,Chelsea Gallery Space for events and exhibitions,40.74913,-74.00373,3210,1
28947,"Chelsea Gallery for events, exhibitions, fashion",40.74888,-74.00480999999999,4160,1
28952,Stunning Loft Penthouse Central Park Terrace New,40.76683,-73.96866999999999,1046,1
29064,holiday sublet,40.813790000000004,-73.95233,1000,11
29237,Most luxuriest place to relax while visiting NYC,40.76075,-73.99837,1500,30
29238,1-BR Lincoln Center,40.77213,-73.98665,10000,30
29394,Aysgarth Brooklyn,40.680009999999996,-73.96557,800,5
29576,The Paris - Duplex Penthouse with Roof Deck,40.72044,-73.9998,800,2
29661,Bergen Street by (Hidden by Airbnb),40.67862,-73.97065,1680,1
29662,East 72nd Townhouse by (Hidden by Airbnb),40.768240000000006,-73.95989,7703,1
29663,East 7th Street III by (Hidden by Airbnb),40.72779,-73.98644,3518,1
29664,Park Avenue Mansion by (Hidden by Airbnb),40.78517,-73.9527,6419,1
29665,Park Place Townhouse by (Hidden by Airbnb),40.67859,-73.97787,2626,1
29666,Prospect Place by (Hidden by Airbnb),40.678290000000004,-73.96899,2103,1
29673,Stunning view in TriBeCa luxury 2 bedrooms,40.7152,-74.01368000000001,980,3
29681,Gorgeous Daylight Photo Studio in Chelsea,40.74881,-74.00473000000001,1100,1
29683,Gorgeous natural light in Chelsea photo studio,40.750209999999996,-74.00479,1500,1
29994,Luxurious Private West Village TownHome,40.731429999999996,-74.00338,850,3
30080,Artist apartment in LIC,40.747859999999996,-73.94628,1250,1
30257,SHOOTS ONLY -- Large Sunny loft in Williamsburg,40.71782,-73.96318000000001,1000,1
30259,SHOOTS ONLY - Eclectic Artist Loft in Williamsburg,40.71846,-73.9616,2000,1
30260,SHOOTS ONLY - Huge Artist loft in Williamsburg,40.71653,-73.96276,2500,1
30268,Beautiful/Spacious 1 bed luxury flat-TriBeCa/Soho,40.72197,-74.00633,8500,30
30661,Luxe Elegance in the <3 of Brooklyn,40.67839,-73.96791,750,7
30680,Central Park West Hotel,40.77706,-73.97788,800,1
30697,Luxurious Townhouse in Williamsburg,40.713390000000004,-73.94873,750,5
30722,TheBlueHouse. EntireHome. BabyGrand. FreeParking.,40.68012,-73.89338000000001,800,1
